test 1: cpu version, x: number of neurons per layer, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
5 1 100 2982 124 
5 2 100 3890 180 
5 3 100 5126 268 
5 4 100 6254 388 
5 5 100 7565 540 
5 6 100 9011 724 
5 7 100 10523 940 
5 8 100 12130 1188 
5 9 100 13957 1468 
5 10 100 15637 1780 
5 11 100 17481 2124 
5 12 100 19761 2500 
5 13 100 21872 2908 
5 14 100 23855 3348 
5 15 100 26091 3820 
5 16 100 28598 4324 
5 17 100 31031 4860 
5 18 100 33617 5428 
5 19 100 32932 6028 
5 20 100 40123 6660 
5 21 100 37747 7324 
5 22 100 43679 8020 
5 23 100 44948 8748 
5 24 100 47279 9508 
5 25 100 49150 10300 
5 26 100 50153 11124 
5 27 100 49381 11980 
5 28 100 47798 12868 
5 29 100 54616 13788 
5 30 100 57821 14740 
5 31 100 63380 15724 
5 32 100 56235 16740 
5 33 100 67308 17788 
5 34 100 67637 18868 
5 35 100 67928 19980 
5 36 100 71364 21124 
5 37 100 74371 22300 
5 38 100 77694 23508 
5 39 100 81057 24748 
5 40 100 85674 26020 
5 41 100 88402 27324 
5 42 100 91813 28660 
5 43 100 95263 30028 
5 44 100 94992 31428 
5 45 100 98621 32860 
5 46 100 102145 34324 
5 47 100 106969 35820 
5 48 100 110041 37348 
5 49 100 114675 38908 
5 50 100 117450 40500 
5 51 100 115356 42124 
5 52 100 126567 43780 
5 53 100 124249 45468 
5 54 100 127407 47188 
5 55 100 138682 48940 
5 56 100 136537 50724 
5 57 100 140999 52540 
5 58 100 151980 54388 
5 59 100 156757 56268 
5 60 100 153710 58180 
5 61 100 166918 60124 
5 62 100 162041 62100 
5 63 100 166720 64108 
5 64 100 175433 66148 
5 65 100 179519 68220 
5 66 100 184584 70324 
5 67 100 188477 72460 
5 68 100 195162 74628 
5 69 100 203133 76828 
5 70 100 211560 79060 
5 71 100 210184 81324 
5 72 100 216664 83620 
5 73 100 221798 85948 
5 74 100 294072 88308 
5 75 100 232615 90700 
5 76 100 237025 93124 
5 77 100 242595 95580 
5 78 100 247281 98068 
5 79 100 254796 100588 
5 80 100 260814 103140 
5 81 100 266577 105724 
5 82 100 270997 108340 
5 83 100 277920 110988 
5 84 100 284625 113668 
5 85 100 291151 116380 
5 86 100 298656 119124 
5 87 100 303996 121900 
5 88 100 310078 124708 
5 89 100 316248 127548 
5 90 100 321547 130420 
5 91 100 328122 133324 
5 92 100 337565 136260 
5 93 100 340609 139228 
5 94 100 346385 142228 
5 95 100 357414 145260 
5 96 100 362222 148324 
5 97 100 372113 151420 
5 98 100 378569 154548 
5 99 100 383279 157708 
5 100 100 391059 160900 
test 2: cpu version, x: number of layers, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
1 50 100 809 404 
2 50 100 37657 10416 
3 50 100 62267 20436 
4 50 100 89475 30464 
5 50 100 118959 40500 
6 50 100 146432 50544 
7 50 100 175230 60596 
8 50 100 196143 70656 
9 50 100 224143 80724 
10 50 100 251011 90800 
11 50 100 278318 100884 
12 50 100 307485 110976 
13 50 100 336980 121076 
14 50 100 360826 131184 
15 50 100 387387 141300 
16 50 100 418719 151424 
17 50 100 446162 161556 
18 50 100 473476 171696 
19 50 100 501944 181844 
20 50 100 528829 192000 
21 50 100 557006 202164 
22 50 100 582621 212336 
23 50 100 609428 222516 
24 50 100 639952 232704 
25 50 100 668146 242900 
26 50 100 692986 253104 
27 50 100 718953 263316 
28 50 100 753172 273536 
29 50 100 781468 283764 
30 50 100 806180 294000 
31 50 100 829777 304244 
32 50 100 864229 314496 
33 50 100 888678 324756 
34 50 100 913527 335024 
35 50 100 941529 345300 
36 50 100 988138 355584 
37 50 100 1001556 365876 
38 50 100 1022577 376176 
39 50 100 1051363 386484 
40 50 100 1088832 396800 
41 50 100 1112186 407124 
42 50 100 1131667 417456 
43 50 100 1158974 427796 
44 50 100 1204542 438144 
45 50 100 1223560 448500 
46 50 100 1246644 458864 
47 50 100 1275230 469236 
48 50 100 1311056 479616 
49 50 100 1337334 490004 
50 50 100 1354850 500400 
51 50 100 1452547 510804 
52 50 100 1425951 521216 
53 50 100 1445405 531636 
54 50 100 1465097 542064 
55 50 100 1495973 552500 
56 50 100 1529986 562944 
